Time (s),Voltage (V)
0.0,-0.008356697011981867
0.001,0.002731446339844281
0.002,-0.015748792579865965
0.003,-0.019444840363808013
0.004,0.002731446339844281
0.005,-0.015748792579865965
0.006,-0.012052744795923914
0.007,0.002731446339844281
0.008,-0.004660649228039817
0.009,-0.008356697011981867
0.01,0.00642749412378633
0.011,0.00642749412378633
0.012,-0.004660649228039817
0.013,0.002731446339844281
0.014,0.00642749412378633
0.015,-0.019444840363808013
0.016,-0.02314088814775006
0.017,0.00642749412378633
0.018,0.002731446339844281
0.019,-0.008356697011981867
0.02,-0.008356697011981867
0.021,-0.008356697011981867
0.022,-0.0009646014440977679
0.023,-0.012052744795923914
0.024,-0.02683693593169211
0.025,-0.008356697011981867
0.026,-0.012052744795923914
0.027,-0.015748792579865965
0.028,-0.012052744795923914
0.029,-0.004660649228039817
0.03,-0.02314088814775006
0.031,-0.008356697011981867
0.032,-0.015748792579865965
0.033,-0.008356697011981867
0.034,-0.0009646014440977679
0.035,-0.015748792579865965
0.036,-0.012052744795923914
0.037,0.002731446339844281
0.038,-0.03422903149957621
0.039,-0.004660649228039817
0.04,-0.008356697011981867
0.041,-0.02683693593169211
0.042,-0.004660649228039817
0.043,-0.012052744795923914
0.044,-0.004660649228039817
0.045,-0.012052744795923914
0.046,-0.012052744795923914
0.047,-0.019444840363808013
0.048,-0.02314088814775006
0.049,-0.019444840363808013
0.05,-0.008356697011981867
0.051,-0.012052744795923914
0.052,-0.008356697011981867
0.053,-0.008356697011981867
0.054,-0.0009646014440977679
0.055,-0.02314088814775006
0.056,-0.019444840363808013
0.057,-0.02314088814775006
0.058,-0.004660649228039817
0.059,-0.008356697011981867
0.06,-0.012052744795923914
0.061,-0.004660649228039817
0.062,-0.019444840363808013
0.063,0.010123541907728378
0.064,-0.012052744795923914
0.065,0.002731446339844281
0.066,-0.004660649228039817
0.067,0.021211685259554525
0.068,-0.02314088814775006
0.069,-0.0009646014440977679
0.07,-0.015748792579865965
0.071,0.010123541907728378
0.072,-0.0009646014440977679
0.073,-0.015748792579865965
0.074,-0.012052744795923914
0.075,0.002731446339844281
0.076,0.010123541907728378
0.077,-0.012052744795923914
0.078,-0.02314088814775006
0.079,-0.015748792579865965
0.08,0.021211685259554525
0.081,-0.03053298371563416
0.082,-0.02683693593169211
0.083,-0.008356697011981867
0.084,-0.008356697011981867
0.085,-0.02314088814775006
0.086,-0.0009646014440977679
0.087,-0.008356697011981867
0.088,-0.004660649228039817
0.089,-0.012052744795923914
0.09,-0.012052744795923914
0.091,-0.008356697011981867
0.092,-0.012052744795923914
0.093,-0.019444840363808013
0.094,-0.004660649228039817
0.095,-0.004660649228039817
0.096,0.00642749412378633
0.097,-0.008356697011981867
0.098,-0.0009646014440977679
0.099,0.010123541907728378
0.1,-0.012052744795923914
0.101,0.00642749412378633
0.102,-0.019444840363808013
0.103,0.002731446339844281
0.104,0.010123541907728378
0.105,-0.0009646014440977679
0.106,-0.004660649228039817
0.107,-0.004660649228039817
0.108,0.017515637475612477
0.109,0.002731446339844281
0.11,-0.004660649228039817
0.111,-0.012052744795923914
0.112,-0.008356697011981867
0.113,-0.02314088814775006
0.114,-0.004660649228039817
0.115,-0.015748792579865965
0.116,-0.012052744795923914
0.117,-0.02314088814775006
0.118,-0.004660649228039817
0.119,-0.0009646014440977679
0.12,-0.012052744795923914
0.121,-0.0009646014440977679
0.122,0.00642749412378633
0.123,0.002731446339844281
0.124,0.010123541907728378
0.125,-0.008356697011981867
0.126,-0.019444840363808013
0.127,-0.012052744795923914
0.128,-0.02683693593169211
0.129,-0.03053298371563416
0.13,-0.0009646014440977679
0.131,0.028603780827438623
0.132,-0.004660649228039817
0.133,-0.0009646014440977679
0.134,-0.019444840363808013
0.135,0.013819589691670428
0.136,0.00642749412378633
0.137,0.010123541907728378
0.138,-0.0009646014440977679
0.139,-0.0009646014440977679
0.14,0.00642749412378633
0.141,-0.008356697011981867
0.142,0.010123541907728378
0.143,-0.0009646014440977679
0.144,0.010123541907728378
0.145,-0.019444840363808013
0.146,-0.019444840363808013
0.147,-0.012052744795923914
0.148,-0.004660649228039817
0.149,-0.02683693593169211
0.15,-0.008356697011981867
0.151,-0.012052744795923914
0.152,0.010123541907728378
0.153,-0.015748792579865965
0.154,-0.015748792579865965
0.155,-0.004660649228039817
0.156,0.00642749412378633
0.157,-0.03422903149957621
0.158,-0.008356697011981867
0.159,0.013819589691670428
0.16,-0.012052744795923914
0.161,-0.012052744795923914
0.162,-0.03053298371563416
0.163,-0.019444840363808013
0.164,-0.004660649228039817
0.165,-0.012052744795923914
0.166,-0.012052744795923914
0.167,-0.019444840363808013
0.168,-0.008356697011981867
0.169,-0.012052744795923914
0.17,-0.0009646014440977679
0.171,-0.008356697011981867
0.172,-0.02314088814775006
0.173,-0.008356697011981867
0.174,-0.02314088814775006
0.175,0.002731446339844281
0.176,-0.0009646014440977679
0.177,-0.012052744795923914
0.178,-0.008356697011981867
0.179,0.002731446339844281
0.18,-0.0009646014440977679
0.181,-0.03053298371563416
0.182,-0.019444840363808013
0.183,-0.0009646014440977679
0.184,-0.02314088814775006
0.185,-0.0009646014440977679
0.186,-0.03792507928351826
0.187,-0.015748792579865965
0.188,-0.02314088814775006
0.189,-0.015748792579865965
0.19,-0.008356697011981867
0.191,-0.015748792579865965
0.192,-0.015748792579865965
0.193,0.00642749412378633
0.194,-0.008356697011981867
0.195,-0.008356697011981867
0.196,-0.008356697011981867
0.197,-0.02683693593169211
0.198,-0.008356697011981867
0.199,-0.019444840363808013
0.2,-0.008356697011981867
0.201,-0.0009646014440977679
0.202,-0.008356697011981867
0.203,-0.008356697011981867
0.204,0.010123541907728378
0.205,-0.02314088814775006
